comparison,outcome,estimate,se,ci_low,ci_high,n_treatment,n_comparison,mean_treatment,mean_comparison
Mens E-Mail minus No E-Mail,spend,0.7698271558945113,0.14524656024869978,0.4851438978070598,1.054510413981963,21307,21306,1.4226165110057536,0.6527893551112423
Womens E-Mail minus No E-Mail,spend,0.4244122159365842,0.13033285852919074,0.16895981321937031,0.679864618653798,21387,21306,1.0772015710478264,0.6527893551112423
Mens E-Mail minus Womens E-Mail,spend,0.34541493995792716,0.15961741484166164,0.032564806868270346,0.658265073047584,21307,21387,1.4226165110057536,1.0772015710478264
