recency_bin,comparison,outcome,estimate,se,ci_low,ci_high,n_treatment,n_comparison,mean_treatment,mean_comparison
Warm,Mens E-Mail minus No E-Mail,spend,1.0475980624908672,0.2976774840792253,0.46415019369558563,1.6310459312861487,7469,7438,1.9911487481590575,0.9435506856681903
Warm,Womens E-Mail minus No E-Mail,spend,0.35859999560351685,0.24185593084056406,-0.11543762884398867,0.8326376200510224,7486,7438,1.3021506812717072,0.9435506856681903
Warm,Mens E-Mail minus Womens E-Mail,spend,0.6889980668873503,0.3143808089751968,0.0728116812959646,1.305184452478736,7469,7486,1.9911487481590575,1.3021506812717072
Cooling,Mens E-Mail minus No E-Mail,spend,0.48838743501902293,0.24465679120671174,0.008860124253867896,0.9679147457841779,4673,4766,1.0075754333404665,0.5191879983214436
Cooling,Womens E-Mail minus No E-Mail,spend,0.6654827359516471,0.2834943469091333,0.10983381600974584,1.2211316558935483,4753,4766,1.1846707342730907,0.5191879983214436
Cooling,Mens E-Mail minus Womens E-Mail,spend,-0.17709530093262416,0.31621162385948887,-0.7968700836972223,0.44267948183197403,4673,4753,1.0075754333404665,1.1846707342730907
Dormant,Mens E-Mail minus No E-Mail,spend,0.6050864572884942,0.27596632887516165,0.06419245269317742,1.145980461883811,4688,4699,1.1810238907849828,0.5759374334964886
Dormant,Womens E-Mail minus No E-Mail,spend,0.29948940895002096,0.2795757953889733,-0.24847915001236676,0.8474579679124087,4627,4699,0.8754268424465096,0.5759374334964886
Dormant,Mens E-Mail minus Womens E-Mail,spend,0.30559704833847323,0.2990342128026695,-0.28051000875475895,0.8917041054317054,4688,4627,1.1810238907849828,0.8754268424465096
Very dormant,Mens E-Mail minus No E-Mail,spend,0.7720818074828769,0.28705735393133214,0.20944939377746596,1.3347142211882879,4477,4403,1.1603216439580075,0.3882398364751306
Very dormant,Womens E-Mail minus No E-Mail,spend,0.41000612680732906,0.2203088586466903,-0.02179923614018392,0.8418114897548421,4521,4403,0.7982459632824597,0.3882398364751306
Very dormant,Mens E-Mail minus Womens E-Mail,spend,0.36207568067554785,0.3076624667475007,-0.24094275414955346,0.9650941155006492,4477,4521,1.1603216439580075,0.7982459632824597
