recency_bin,mens_lift,mens_ci_low,mens_ci_high,mens_profit,womens_lift,womens_ci_low,womens_ci_high,womens_profit,mens_minus_womens,mens_minus_womens_ci_low,mens_minus_womens_ci_high,recommended_action,recommendation_strength,reason
Warm,1.0475980624908672,0.46415019369558563,1.6310459312861487,1.0375980624908672,0.35859999560351685,-0.11543762884398867,0.8326376200510224,0.34859999560351684,0.6889980668873503,0.0728116812959646,1.305184452478736,Mens E-Mail,Clear winner,Both profitable; Mens significantly above Womens (direct CI excludes 0).
Cooling,0.48838743501902293,0.008860124253867896,0.9679147457841779,0.4783874350190229,0.6654827359516471,0.10983381600974584,1.2211316558935483,0.6554827359516471,-0.17709530093262416,-0.7968700836972223,0.44267948183197403,Either email,"Either email, no clear winner",Both profitable; direct difference CI includes 0.
Dormant,0.6050864572884942,0.06419245269317742,1.145980461883811,0.5950864572884942,0.29948940895002096,-0.24847915001236676,0.8474579679124087,0.28948940895002095,0.30559704833847323,-0.28051000875475895,0.8917041054317054,Either email,"Either email, no clear winner",Both profitable; direct difference CI includes 0.
Very dormant,0.7720818074828769,0.20944939377746596,1.3347142211882879,0.7620818074828769,0.41000612680732906,-0.02179923614018392,0.8418114897548421,0.40000612680732905,0.36207568067554785,-0.24094275414955346,0.9650941155006492,Either email,"Either email, no clear winner",Both profitable; direct difference CI includes 0.
